time,x-rotation,y-rotation,z-rotation
25.040,-2.492,1.745,-0.812
25.080,-0.229,2.489,-0.926
25.120,-1.223,2.656,-0.488
25.160,-2.816,2.580,0.137
25.200,-2.344,2.607,0.015
25.240,2.614,2.412,-0.301
25.280,2.123,1.559,-0.545
25.320,0.370,0.892,-0.835
25.360,-1.002,0.591,-0.976
25.400,0.507,1.608,-0.362
25.440,2.553,2.104,-0.126
25.480,1.784,1.776,-0.484
25.520,0.461,1.536,-0.469
25.560,0.587,1.563,-0.328
25.600,2.066,1.669,-0.541
25.640,2.412,1.856,-0.095
25.680,-0.255,1.845,0.061
25.720,0.915,1.349,-0.183
25.760,1.334,1.239,-0.221
25.800,1.239,0.431,-0.236
25.840,0.907,-0.126,-0.213
25.880,-0.427,-0.332,-0.724
25.920,0.301,-0.644,-1.639
25.960,2.332,-0.217,-1.585
26.000,0.008,0.514,-0.690
26.040,-1.612,0.278,0.027
26.080,-0.892,0.313,0.149
26.120,-0.274,0.701,-0.198
26.160,0.998,0.004,-0.720
26.200,1.696,-0.366,-1.117
26.240,1.349,0.313,-1.181
26.280,0.838,0.621,-0.705
26.320,0.892,0.732,-0.229
26.360,1.010,1.040,-0.248
26.400,2.969,0.877,-0.259
26.440,2.165,0.377,0.663
26.480,1.010,0.278,1.258
26.520,2.607,0.671,1.079
26.560,-3.396,1.932,1.643
26.600,-5.225,1.966,-0.160
26.640,-1.479,-0.568,-3.396
26.680,-2.275,-4.364,-7.778
26.720,15.492,-8.910,-12.683
26.760,15.583,-10.057,-14.432
26.800,16.330,-11.742,-15.930
26.840,1.033,-16.757,-19.341
26.880,1.776,-23.598,-23.300
26.920,-10.076,-20.713,-16.970
26.960,-29.085,-5.206,-1.181
27.000,-31.665,1.155,2.005
27.040,-28.716,-1.460,-3.129
27.080,-18.396,-1.433,-7.237
27.120,-21.075,3.773,-10.781
27.160,-25.983,6.604,-13.857
27.200,-32.245,8.056,-19.173
27.240,-71.734,7.165,-33.289
27.280,-114.649,-12.279,-58.144
27.320,-122.744,-19.870,-71.231
27.360,-81.361,7.854,-48.178
27.400,-33.373,51.513,-7.024
27.440,-104.375,96.829,6.582
27.480,-124.874,124.874,-16.860
27.520,-124.181,124.874,47.447
27.560,-124.226,114.985,72.218
27.600,-124.874,80.777,55.457
27.640,-124.874,34.177,10.412
27.680,-124.859,-30.766,-56.471
27.720,-117.313,-94.771,-119.466
27.760,-118.674,-124.874,-124.874
27.800,-123.982,-102.165,-82.134
27.840,-75.983,31.582,68.117
27.880,-57.923,124.874,124.874
27.920,-96.963,86.803,76.597
27.960,-4.775,53.914,76.151
28.000,-17.313,46.395,86.338
28.040,56.997,35.011,59.973
28.080,5.339,16.776,33.579
28.120,49.352,11.639,26.132
28.160,52.142,11.841,23.445
28.200,31.833,22.088,36.631
28.240,19.714,50.297,61.059
28.280,8.952,63.403,72.035
28.320,17.370,80.389,75.046
28.360,13.765,109.123,86.429
28.400,8.697,124.874,104.550
28.440,70.617,124.874,124.874
28.480,62.813,124.505,124.874
28.520,-77.378,124.874,120.842
28.560,-120.114,90.301,50.991
28.600,15.171,38.205,-82.687
28.640,-80.240,-17.668,-124.874
28.680,-124.874,-99.935,-124.874
28.720,-117.355,-124.874,-123.887
28.760,-63.925,-124.874,-124.874
28.800,14.581,-124.234,-124.874
28.840,59.909,-124.874,-124.855
28.880,59.615,-104.611,-102.797
28.920,-47.668,32.447,61.966
28.960,0.133,83.034,76.143
29.000,38.525,62.424,103.739
29.040,-50.850,36.654,83.521
29.080,96.353,21.925,53.434
29.120,45.412,17.546,25.454
